#StartDevice,StartPort,EndDevice,EndPort,LinkType
DSM091050107003,DSM091050107003 ibp85s0f0,DSM09-0101-0506-07IB0,Port 5, Data
DSM091050107019,DSM091050107019 ibp85s0f0,DSM09-0101-0506-07IB0,Port 6, Data
DSM091050108019,DSM091050108019 ibp85s0f0,DSM09-0101-0506-07IB0,Port 10, Data
DSM091050108053,DSM091050108053 ibp85s0f0,DSM09-0101-0506-07IB0,Port 11, Data
DSM091050108037,DSM091050108037 ibp85s0f0,DSM09-0101-0506-07IB0,Port 12, Data
DSM091050109003,DSM091050109003 ibp85s0f0,DSM09-0101-0506-07IB0,Port 13, Data
DSM091050109019,DSM091050109019 ibp85s0f0,DSM09-0101-0506-07IB0,Port 14, Data
DSM091050109053,DSM091050109053 ibp85s0f0,DSM09-0101-0506-07IB0,Port 15, Data
DSM091050110003,DSM091050110003 ibp85s0f0,DSM09-0101-0506-07IB0,Port 17, Data
DSM091050110019,DSM091050110019 ibp85s0f0,DSM09-0101-0506-07IB0,Port 18, Data
DSM091050110053,DSM091050110053 ibp85s0f0,DSM09-0101-0506-07IB0,Port 19, Data
DSM091050110037,DSM091050110037 ibp85s0f0,DSM09-0101-0506-07IB0,Port 20, Data
DSM091050111003,DSM091050111003 ibp85s0f0,DSM09-0101-0506-08IB0,Port 1, Data
DSM091050111019,DSM091050111019 ibp85s0f0,DSM09-0101-0506-08IB0,Port 2, Data
DSM091050111053,DSM091050111053 ibp85s0f0,DSM09-0101-0506-08IB0,Port 3, Data
DSM091050111037,DSM091050111037 ibp85s0f0,DSM09-0101-0506-08IB0,Port 4, Data
DSM091050112003,DSM091050112003 ibp85s0f0,DSM09-0101-0506-08IB0,Port 5, Data
DSM091050112019,DSM091050112019 ibp85s0f0,DSM09-0101-0506-08IB0,Port 6, Data
DSM091050112053,DSM091050112053 ibp85s0f0,DSM09-0101-0506-08IB0,Port 7, Data
DSM091050112037,DSM091050112037 ibp85s0f0,DSM09-0101-0506-08IB0,Port 8, Data
DSM091050601003,DSM091050601003 ibp85s0f0,DSM09-0101-0506-08IB0,Port 9, Data
DSM091050601019,DSM091050601019 ibp85s0f0,DSM09-0101-0506-08IB0,Port 10, Data
DSM091050601053,DSM091050601053 ibp85s0f0,DSM09-0101-0506-08IB0,Port 11, Data
DSM091050601037,DSM091050601037 ibp85s0f0,DSM09-0101-0506-08IB0,Port 12, Data
DSM091050602003,DSM091050602003 ibp85s0f0,DSM09-0101-0506-08IB0,Port 13, Data
DSM091050602053,DSM091050602053 ibp85s0f0,DSM09-0101-0506-08IB0,Port 15, Data
DSM091050602037,DSM091050602037 ibp85s0f0,DSM09-0101-0506-08IB0,Port 16, Data
DSM091050603003,DSM091050603003 ibp85s0f0,DSM09-0101-0506-08IB0,Port 17, Data
DSM091050603019,DSM091050603019 ibp85s0f0,DSM09-0101-0506-08IB0,Port 18, Data
DSM091050603053,DSM091050603053 ibp85s0f0,DSM09-0101-0506-08IB0,Port 19, Data
DSM091050603037,DSM091050603037 ibp85s0f0,DSM09-0101-0506-08IB0,Port 20, Data
DSM091050604019,DSM091050604019 ibp85s0f0,DSM09-0101-0506-09IB0,Port 2, Data
DSM091050604053,DSM091050604053 ibp85s0f0,DSM09-0101-0506-09IB0,Port 3, Data
DSM091050604037,DSM091050604037 ibp85s0f0,DSM09-0101-0506-09IB0,Port 4, Data
DSM091050605019,DSM091050605019 ibp85s0f0,DSM09-0101-0506-09IB0,Port 6, Data
DSM091050605053,DSM091050605053 ibp85s0f0,DSM09-0101-0506-09IB0,Port 7, Data
DSM091050605037,DSM091050605037 ibp85s0f0,DSM09-0101-0506-09IB0,Port 8, Data
DSM091050606019,DSM091050606019 ibp85s0f0,DSM09-0101-0506-09IB0,Port 10, Data
DSM091050606053,DSM091050606053 ibp85s0f0,DSM09-0101-0506-09IB0,Port 11, Data
DSM091050606037,DSM091050606037 ibp85s0f0,DSM09-0101-0506-09IB0,Port 12, Data
DSM091050607003,DSM091050607003 ibp85s0f0,DSM09-0101-0506-09IB0,Port 13, Data
DSM091050607019,DSM091050607019 ibp85s0f0,DSM09-0101-0506-09IB0,Port 14, Data
DSM091050607053,DSM091050607053 ibp85s0f0,DSM09-0101-0506-09IB0,Port 15, Data
DSM091050608003,DSM091050608003 ibp85s0f0,DSM09-0101-0506-09IB0,Port 17, Data
DSM091050608019,DSM091050608019 ibp85s0f0,DSM09-0101-0506-09IB0,Port 18, Data
DSM091050608053,DSM091050608053 ibp85s0f0,DSM09-0101-0506-09IB0,Port 19, Data
DSM091050608037,DSM091050608037 ibp85s0f0,DSM09-0101-0506-09IB0,Port 20, Data
DSM091050609003,DSM091050609003 ibp85s0f0,DSM09-0101-0506-10IB0,Port 1, Data
DSM091050609019,DSM091050609019 ibp85s0f0,DSM09-0101-0506-10IB0,Port 2, Data
DSM091050609037,DSM091050609037 ibp85s0f0,DSM09-0101-0506-10IB0,Port 4, Data
DSM091050610003,DSM091050610003 ibp85s0f0,DSM09-0101-0506-10IB0,Port 5, Data
DSM091050610019,DSM091050610019 ibp85s0f0,DSM09-0101-0506-10IB0,Port 6, Data
DSM091050610053,DSM091050610053 ibp85s0f0,DSM09-0101-0506-10IB0,Port 7, Data
DSM091050611003,DSM091050611003 ibp85s0f0,DSM09-0101-0506-10IB0,Port 9, Data
DSM091050611019,DSM091050611019 ibp85s0f0,DSM09-0101-0506-10IB0,Port 10, Data
DSM091050611053,DSM091050611053 ibp85s0f0,DSM09-0101-0506-10IB0,Port 11, Data
DSM091050611037,DSM091050611037 ibp85s0f0,DSM09-0101-0506-10IB0,Port 12, Data
DSM091050612019,DSM091050612019 ibp85s0f0,DSM09-0101-0506-10IB0,Port 14, Data
DSM091050612037,DSM091050612037 ibp85s0f0,DSM09-0101-0506-10IB0,Port 16, Data
DSM091050701003,DSM091050701003 ibp85s0f0,DSM09-0101-0508-06IB0,Port 1, Data
DSM091050701019,DSM091050701019 ibp85s0f0,DSM09-0101-0508-06IB0,Port 2, Data
DSM091050701053,DSM091050701053 ibp85s0f0,DSM09-0101-0508-06IB0,Port 3, Data
DSM091050701037,DSM091050701037 ibp85s0f0,DSM09-0101-0508-06IB0,Port 4, Data
DSM091050702003,DSM091050702003 ibp85s0f0,DSM09-0101-0508-06IB0,Port 5, Data
DSM091050702019,DSM091050702019 ibp85s0f0,DSM09-0101-0508-06IB0,Port 6, Data
DSM091050702053,DSM091050702053 ibp85s0f0,DSM09-0101-0508-06IB0,Port 7, Data
DSM091050702037,DSM091050702037 ibp85s0f0,DSM09-0101-0508-06IB0,Port 8, Data
DSM091050703019,DSM091050703019 ibp85s0f0,DSM09-0101-0508-06IB0,Port 10, Data
DSM091050704019,DSM091050704019 ibp85s0f0,DSM09-0101-0508-06IB0,Port 14, Data
DSM091050704053,DSM091050704053 ibp85s0f0,DSM09-0101-0508-06IB0,Port 15, Data
DSM091050704037,DSM091050704037 ibp85s0f0,DSM09-0101-0508-06IB0,Port 16, Data
DSM091050705003,DSM091050705003 ibp85s0f0,DSM09-0101-0508-06IB0,Port 17, Data
DSM091050705019,DSM091050705019 ibp85s0f0,DSM09-0101-0508-06IB0,Port 18, Data
DSM091050705053,DSM091050705053 ibp85s0f0,DSM09-0101-0508-06IB0,Port 19, Data
DSM091050705037,DSM091050705037 ibp85s0f0,DSM09-0101-0508-06IB0,Port 20, Data
DSM091050706003,DSM091050706003 ibp85s0f0,DSM09-0101-0508-07IB0,Port 1, Data
DSM091050706019,DSM091050706019 ibp85s0f0,DSM09-0101-0508-07IB0,Port 2, Data
DSM091050706053,DSM091050706053 ibp85s0f0,DSM09-0101-0508-07IB0,Port 3, Data
DSM091050706037,DSM091050706037 ibp85s0f0,DSM09-0101-0508-07IB0,Port 4, Data
DSM091050707019,DSM091050707019 ibp85s0f0,DSM09-0101-0508-07IB0,Port 6, Data
DSM091050707053,DSM091050707053 ibp85s0f0,DSM09-0101-0508-07IB0,Port 7, Data
DSM091050707037,DSM091050707037 ibp85s0f0,DSM09-0101-0508-07IB0,Port 8, Data
DSM091050708003,DSM091050708003 ibp85s0f0,DSM09-0101-0508-07IB0,Port 9, Data
DSM091050708019,DSM091050708019 ibp85s0f0,DSM09-0101-0508-07IB0,Port 10, Data
DSM091050708053,DSM091050708053 ibp85s0f0,DSM09-0101-0508-07IB0,Port 11, Data
DSM091050708037,DSM091050708037 ibp85s0f0,DSM09-0101-0508-07IB0,Port 12, Data
DSM091050709003,DSM091050709003 ibp85s0f0,DSM09-0101-0508-07IB0,Port 13, Data
DSM091050709019,DSM091050709019 ibp85s0f0,DSM09-0101-0508-07IB0,Port 14, Data
DSM091050709053,DSM091050709053 ibp85s0f0,DSM09-0101-0508-07IB0,Port 15, Data
DSM091050710003,DSM091050710003 ibp85s0f0,DSM09-0101-0508-07IB0,Port 17, Data
DSM091050710053,DSM091050710053 ibp85s0f0,DSM09-0101-0508-07IB0,Port 19, Data
DSM091050710037,DSM091050710037 ibp85s0f0,DSM09-0101-0508-07IB0,Port 20, Data
DSM091050711003,DSM091050711003 ibp85s0f0,DSM09-0101-0508-08IB0,Port 1, Data
DSM091050711019,DSM091050711019 ibp85s0f0,DSM09-0101-0508-08IB0,Port 2, Data
DSM091050711053,DSM091050711053 ibp85s0f0,DSM09-0101-0508-08IB0,Port 3, Data
DSM091050711037,DSM091050711037 ibp85s0f0,DSM09-0101-0508-08IB0,Port 4, Data
DSM091050712019,DSM091050712019 ibp85s0f0,DSM09-0101-0508-08IB0,Port 6, Data
DSM091050712037,DSM091050712037 ibp85s0f0,DSM09-0101-0508-08IB0,Port 8, Data
DSM091050801003,DSM091050801003 ibp85s0f0,DSM09-0101-0508-08IB0,Port 9, Data
DSM091050801019,DSM091050801019 ibp85s0f0,DSM09-0101-0508-08IB0,Port 10, Data
DSM091050801053,DSM091050801053 ibp85s0f0,DSM09-0101-0508-08IB0,Port 11, Data
DSM091050801037,DSM091050801037 ibp85s0f0,DSM09-0101-0508-08IB0,Port 12, Data
DSM091050802003,DSM091050802003 ibp85s0f0,DSM09-0101-0508-08IB0,Port 13, Data
DSM091050802053,DSM091050802053 ibp85s0f0,DSM09-0101-0508-08IB0,Port 15, Data
DSM091050803003,DSM091050803003 ibp85s0f0,DSM09-0101-0508-08IB0,Port 17, Data
DSM091050803019,DSM091050803019 ibp85s0f0,DSM09-0101-0508-08IB0,Port 18, Data
DSM091050803053,DSM091050803053 ibp85s0f0,DSM09-0101-0508-08IB0,Port 19, Data
DSM091050803037,DSM091050803037 ibp85s0f0,DSM09-0101-0508-08IB0,Port 20, Data
DSM091050804003,DSM091050804003 ibp85s0f0,DSM09-0101-0508-09IB0,Port 1, Data
DSM091050804019,DSM091050804019 ibp85s0f0,DSM09-0101-0508-09IB0,Port 2, Data
DSM091050804053,DSM091050804053 ibp85s0f0,DSM09-0101-0508-09IB0,Port 3, Data
DSM091050804037,DSM091050804037 ibp85s0f0,DSM09-0101-0508-09IB0,Port 4, Data
DSM091050805003,DSM091050805003 ibp85s0f0,DSM09-0101-0508-09IB0,Port 5, Data
DSM091050805053,DSM091050805053 ibp85s0f0,DSM09-0101-0508-09IB0,Port 7, Data
DSM091050805037,DSM091050805037 ibp85s0f0,DSM09-0101-0508-09IB0,Port 8, Data
DSM091050806003,DSM091050806003 ibp85s0f0,DSM09-0101-0508-09IB0,Port 9, Data
DSM091050806053,DSM091050806053 ibp85s0f0,DSM09-0101-0508-09IB0,Port 11, Data
DSM091050806037,DSM091050806037 ibp85s0f0,DSM09-0101-0508-09IB0,Port 12, Data
DSM091050807003,DSM091050807003 ibp85s0f0,DSM09-0101-0508-09IB0,Port 13, Data
DSM091050807019,DSM091050807019 ibp85s0f0,DSM09-0101-0508-09IB0,Port 14, Data
DSM091050807053,DSM091050807053 ibp85s0f0,DSM09-0101-0508-09IB0,Port 15, Data
DSM091050807037,DSM091050807037 ibp85s0f0,DSM09-0101-0508-09IB0,Port 16, Data
DSM091050808003,DSM091050808003 ibp85s0f0,DSM09-0101-0508-09IB0,Port 17, Data
DSM091050808019,DSM091050808019 ibp85s0f0,DSM09-0101-0508-09IB0,Port 18, Data
DSM091050808053,DSM091050808053 ibp85s0f0,DSM09-0101-0508-09IB0,Port 19, Data
DSM091050808037,DSM091050808037 ibp85s0f0,DSM09-0101-0508-09IB0,Port 20, Data
DSM091050809003,DSM091050809003 ibp85s0f0,DSM09-0101-0508-10IB0,Port 1, Data
DSM091050809019,DSM091050809019 ibp85s0f0,DSM09-0101-0508-10IB0,Port 2, Data
DSM091050809053,DSM091050809053 ibp85s0f0,DSM09-0101-0508-10IB0,Port 3, Data
DSM091050809037,DSM091050809037 ibp85s0f0,DSM09-0101-0508-10IB0,Port 4, Data
DSM091050810003,DSM091050810003 ibp85s0f0,DSM09-0101-0508-10IB0,Port 5, Data
DSM091050810019,DSM091050810019 ibp85s0f0,DSM09-0101-0508-10IB0,Port 6, Data
DSM091050810037,DSM091050810037 ibp85s0f0,DSM09-0101-0508-10IB0,Port 8, Data
DSM091050811003,DSM091050811003 ibp85s0f0,DSM09-0101-0508-10IB0,Port 9, Data
DSM091050811019,DSM091050811019 ibp85s0f0,DSM09-0101-0508-10IB0,Port 10, Data
DSM091050811053,DSM091050811053 ibp85s0f0,DSM09-0101-0508-10IB0,Port 11, Data
DSM091050811037,DSM091050811037 ibp85s0f0,DSM09-0101-0508-10IB0,Port 12, Data
DSM091050812003,DSM091050812003 ibp85s0f0,DSM09-0101-0508-10IB0,Port 13, Data
DSM091050812019,DSM091050812019 ibp85s0f0,DSM09-0101-0508-10IB0,Port 14, Data
DSM091050812037,DSM091050812037 ibp85s0f0,DSM09-0101-0508-10IB0,Port 16, Data
DSM091051201003,DSM091051201003 ibp85s0f0,DSM09-0101-0513-06IB0,Port 1, Data
DSM091051201019,DSM091051201019 ibp85s0f0,DSM09-0101-0513-06IB0,Port 2, Data
DSM091051201053,DSM091051201053 ibp85s0f0,DSM09-0101-0513-06IB0,Port 3, Data
DSM091051201037,DSM091051201037 ibp85s0f0,DSM09-0101-0513-06IB0,Port 4, Data
DSM091051202003,DSM091051202003 ibp85s0f0,DSM09-0101-0513-06IB0,Port 5, Data
DSM091051202019,DSM091051202019 ibp85s0f0,DSM09-0101-0513-06IB0,Port 6, Data
DSM091051202037,DSM091051202037 ibp85s0f0,DSM09-0101-0513-06IB0,Port 8, Data
DSM091051203003,DSM091051203003 ibp85s0f0,DSM09-0101-0513-06IB0,Port 9, Data
DSM091051203019,DSM091051203019 ibp85s0f0,DSM09-0101-0513-06IB0,Port 10, Data
DSM091051203053,DSM091051203053 ibp85s0f0,DSM09-0101-0513-06IB0,Port 11, Data
DSM091051204003,DSM091051204003 ibp85s0f0,DSM09-0101-0513-06IB0,Port 13, Data
DSM091051204019,DSM091051204019 ibp85s0f0,DSM09-0101-0513-06IB0,Port 14, Data
DSM091051204053,DSM091051204053 ibp85s0f0,DSM09-0101-0513-06IB0,Port 15, Data
DSM091051204037,DSM091051204037 ibp85s0f0,DSM09-0101-0513-06IB0,Port 16, Data
DSM091051205003,DSM091051205003 ibp85s0f0,DSM09-0101-0513-06IB0,Port 17, Data
DSM091051205019,DSM091051205019 ibp85s0f0,DSM09-0101-0513-06IB0,Port 18, Data
DSM091051205053,DSM091051205053 ibp85s0f0,DSM09-0101-0513-06IB0,Port 19, Data
DSM091051205037,DSM091051205037 ibp85s0f0,DSM09-0101-0513-06IB0,Port 20, Data
DSM091051206003,DSM091051206003 ibp85s0f0,DSM09-0101-0513-07IB0,Port 1, Data
DSM091051206019,DSM091051206019 ibp85s0f0,DSM09-0101-0513-07IB0,Port 2, Data
DSM091051206037,DSM091051206037 ibp85s0f0,DSM09-0101-0513-07IB0,Port 4, Data
DSM091051207003,DSM091051207003 ibp85s0f0,DSM09-0101-0513-07IB0,Port 5, Data
DSM091051207019,DSM091051207019 ibp85s0f0,DSM09-0101-0513-07IB0,Port 6, Data
DSM091051207053,DSM091051207053 ibp85s0f0,DSM09-0101-0513-07IB0,Port 7, Data
DSM091051208003,DSM091051208003 ibp85s0f0,DSM09-0101-0513-07IB0,Port 9, Data
DSM091051208019,DSM091051208019 ibp85s0f0,DSM09-0101-0513-07IB0,Port 10, Data
DSM091051208037,DSM091051208037 ibp85s0f0,DSM09-0101-0513-07IB0,Port 12, Data
DSM091051209003,DSM091051209003 ibp85s0f0,DSM09-0101-0513-07IB0,Port 13, Data
DSM091051209019,DSM091051209019 ibp85s0f0,DSM09-0101-0513-07IB0,Port 14, Data
DSM091051209053,DSM091051209053 ibp85s0f0,DSM09-0101-0513-07IB0,Port 15, Data
DSM091051209037,DSM091051209037 ibp85s0f0,DSM09-0101-0513-07IB0,Port 16, Data
DSM091051210003,DSM091051210003 ibp85s0f0,DSM09-0101-0513-07IB0,Port 17, Data
DSM091051210019,DSM091051210019 ibp85s0f0,DSM09-0101-0513-07IB0,Port 18, Data
DSM091051211003,DSM091051211003 ibp85s0f0,DSM09-0101-0513-08IB0,Port 1, Data
DSM091051211019,DSM091051211019 ibp85s0f0,DSM09-0101-0513-08IB0,Port 2, Data
DSM091051211053,DSM091051211053 ibp85s0f0,DSM09-0101-0513-08IB0,Port 3, Data
DSM091051211037,DSM091051211037 ibp85s0f0,DSM09-0101-0513-08IB0,Port 4, Data
DSM091051212003,DSM091051212003 ibp85s0f0,DSM09-0101-0513-08IB0,Port 5, Data
DSM091051212019,DSM091051212019 ibp85s0f0,DSM09-0101-0513-08IB0,Port 6, Data
DSM091051212053,DSM091051212053 ibp85s0f0,DSM09-0101-0513-08IB0,Port 7, Data
DSM091051212037,DSM091051212037 ibp85s0f0,DSM09-0101-0513-08IB0,Port 8, Data
DSM091051301003,DSM091051301003 ibp85s0f0,DSM09-0101-0513-08IB0,Port 9, Data
DSM091051301053,DSM091051301053 ibp85s0f0,DSM09-0101-0513-08IB0,Port 11, Data
DSM091051302003,DSM091051302003 ibp85s0f0,DSM09-0101-0513-08IB0,Port 13, Data
DSM091051302053,DSM091051302053 ibp85s0f0,DSM09-0101-0513-08IB0,Port 15, Data
DSM091051302037,DSM091051302037 ibp85s0f0,DSM09-0101-0513-08IB0,Port 16, Data
DSM091051303003,DSM091051303003 ibp85s0f0,DSM09-0101-0513-08IB0,Port 17, Data
DSM091051303019,DSM091051303019 ibp85s0f0,DSM09-0101-0513-08IB0,Port 18, Data
DSM091051303037,DSM091051303037 ibp85s0f0,DSM09-0101-0513-08IB0,Port 20, Data
DSM091051304003,DSM091051304003 ibp85s0f0,DSM09-0101-0513-09IB0,Port 1, Data
DSM091051304019,DSM091051304019 ibp85s0f0,DSM09-0101-0513-09IB0,Port 2, Data
DSM091051304053,DSM091051304053 ibp85s0f0,DSM09-0101-0513-09IB0,Port 3, Data
DSM091051304037,DSM091051304037 ibp85s0f0,DSM09-0101-0513-09IB0,Port 4, Data
DSM091051305003,DSM091051305003 ibp85s0f0,DSM09-0101-0513-09IB0,Port 5, Data
DSM091051305019,DSM091051305019 ibp85s0f0,DSM09-0101-0513-09IB0,Port 6, Data
DSM091051305053,DSM091051305053 ibp85s0f0,DSM09-0101-0513-09IB0,Port 7, Data
DSM091051305037,DSM091051305037 ibp85s0f0,DSM09-0101-0513-09IB0,Port 8, Data
DSM091051306003,DSM091051306003 ibp85s0f0,DSM09-0101-0513-09IB0,Port 9, Data
DSM091051306019,DSM091051306019 ibp85s0f0,DSM09-0101-0513-09IB0,Port 10, Data
DSM091051306053,DSM091051306053 ibp85s0f0,DSM09-0101-0513-09IB0,Port 11, Data
DSM091051306037,DSM091051306037 ibp85s0f0,DSM09-0101-0513-09IB0,Port 12, Data
DSM091051307003,DSM091051307003 ibp85s0f0,DSM09-0101-0513-09IB0,Port 13, Data
DSM091051307019,DSM091051307019 ibp85s0f0,DSM09-0101-0513-09IB0,Port 14, Data
DSM091051307053,DSM091051307053 ibp85s0f0,DSM09-0101-0513-09IB0,Port 15, Data
DSM091051307037,DSM091051307037 ibp85s0f0,DSM09-0101-0513-09IB0,Port 16, Data
DSM091051308003,DSM091051308003 ibp85s0f0,DSM09-0101-0513-09IB0,Port 17, Data
DSM091051308019,DSM091051308019 ibp85s0f0,DSM09-0101-0513-09IB0,Port 18, Data
DSM091051308053,DSM091051308053 ibp85s0f0,DSM09-0101-0513-09IB0,Port 19, Data
DSM091051308037,DSM091051308037 ibp85s0f0,DSM09-0101-0513-09IB0,Port 20, Data
DSM091051310003,DSM091051310003 ibp85s0f0,DSM09-0101-0513-10IB0,Port 5, Data
DSM091051310019,DSM091051310019 ibp85s0f0,DSM09-0101-0513-10IB0,Port 6, Data
DSM091051310037,DSM091051310037 ibp85s0f0,DSM09-0101-0513-10IB0,Port 8, Data
DSM091051311003,DSM091051311003 ibp85s0f0,DSM09-0101-0513-10IB0,Port 9, Data
DSM091051311019,DSM091051311019 ibp85s0f0,DSM09-0101-0513-10IB0,Port 10, Data
DSM091051311053,DSM091051311053 ibp85s0f0,DSM09-0101-0513-10IB0,Port 11, Data
DSM091051311037,DSM091051311037 ibp85s0f0,DSM09-0101-0513-10IB0,Port 12, Data
DSM091051312003,DSM091051312003 ibp85s0f0,DSM09-0101-0513-10IB0,Port 13, Data
DSM091051312019,DSM091051312019 ibp85s0f0,DSM09-0101-0513-10IB0,Port 14, Data
DSM091051312053,DSM091051312053 ibp85s0f0,DSM09-0101-0513-10IB0,Port 15, Data
DSM091051312037,DSM091051312037 ibp85s0f0,DSM09-0101-0513-10IB0,Port 16, Data
DSM091051401003,DSM091051401003 ibp85s0f0,DSM09-0101-0503-06IB0,Port 1, Data
DSM091051401019,DSM091051401019 ibp85s0f0,DSM09-0101-0503-06IB0,Port 2, Data
DSM091051401053,DSM091051401053 ibp85s0f0,DSM09-0101-0503-06IB0,Port 3, Data
DSM091051401037,DSM091051401037 ibp85s0f0,DSM09-0101-0503-06IB0,Port 4, Data
DSM091051402003,DSM091051402003 ibp85s0f0,DSM09-0101-0503-06IB0,Port 5, Data
DSM091051402019,DSM091051402019 ibp85s0f0,DSM09-0101-0503-06IB0,Port 6, Data
DSM091051402053,DSM091051402053 ibp85s0f0,DSM09-0101-0503-06IB0,Port 7, Data
DSM091051402037,DSM091051402037 ibp85s0f0,DSM09-0101-0503-06IB0,Port 8, Data
DSM091051403003,DSM091051403003 ibp85s0f0,DSM09-0101-0503-06IB0,Port 9, Data
DSM091051403019,DSM091051403019 ibp85s0f0,DSM09-0101-0503-06IB0,Port 10, Data
DSM091051403053,DSM091051403053 ibp85s0f0,DSM09-0101-0503-06IB0,Port 11, Data
DSM091051403037,DSM091051403037 ibp85s0f0,DSM09-0101-0503-06IB0,Port 12, Data
DSM091051404003,DSM091051404003 ibp85s0f0,DSM09-0101-0503-06IB0,Port 13, Data
DSM091051404053,DSM091051404053 ibp85s0f0,DSM09-0101-0503-06IB0,Port 15, Data
DSM091051404037,DSM091051404037 ibp85s0f0,DSM09-0101-0503-06IB0,Port 16, Data
DSM091051405003,DSM091051405003 ibp85s0f0,DSM09-0101-0503-06IB0,Port 17, Data
DSM091051405019,DSM091051405019 ibp85s0f0,DSM09-0101-0503-06IB0,Port 18, Data
DSM091051405053,DSM091051405053 ibp85s0f0,DSM09-0101-0503-06IB0,Port 19, Data
DSM091051405037,DSM091051405037 ibp85s0f0,DSM09-0101-0503-06IB0,Port 20, Data
DSM091051406003,DSM091051406003 ibp85s0f0,DSM09-0101-0503-07IB0,Port 1, Data
DSM091051406019,DSM091051406019 ibp85s0f0,DSM09-0101-0503-07IB0,Port 2, Data
DSM091051406053,DSM091051406053 ibp85s0f0,DSM09-0101-0503-07IB0,Port 3, Data
DSM091051406037,DSM091051406037 ibp85s0f0,DSM09-0101-0503-07IB0,Port 4, Data
DSM091051407003,DSM091051407003 ibp85s0f0,DSM09-0101-0503-07IB0,Port 5, Data
DSM091051407019,DSM091051407019 ibp85s0f0,DSM09-0101-0503-07IB0,Port 6, Data
DSM091051407053,DSM091051407053 ibp85s0f0,DSM09-0101-0503-07IB0,Port 7, Data
DSM091051407037,DSM091051407037 ibp85s0f0,DSM09-0101-0503-07IB0,Port 8, Data
DSM091051408003,DSM091051408003 ibp85s0f0,DSM09-0101-0503-07IB0,Port 9, Data
DSM091051408019,DSM091051408019 ibp85s0f0,DSM09-0101-0503-07IB0,Port 10, Data
DSM091051408037,DSM091051408037 ibp85s0f0,DSM09-0101-0503-07IB0,Port 12, Data
DSM091051409003,DSM091051409003 ibp85s0f0,DSM09-0101-0503-07IB0,Port 13, Data
DSM091051409019,DSM091051409019 ibp85s0f0,DSM09-0101-0503-07IB0,Port 14, Data
DSM091051409053,DSM091051409053 ibp85s0f0,DSM09-0101-0503-07IB0,Port 15, Data
DSM091051409037,DSM091051409037 ibp85s0f0,DSM09-0101-0503-07IB0,Port 16, Data
DSM091051410003,DSM091051410003 ibp85s0f0,DSM09-0101-0503-07IB0,Port 17, Data
DSM091051410019,DSM091051410019 ibp85s0f0,DSM09-0101-0503-07IB0,Port 18, Data
DSM091051410053,DSM091051410053 ibp85s0f0,DSM09-0101-0503-07IB0,Port 19, Data
DSM091051410037,DSM091051410037 ibp85s0f0,DSM09-0101-0503-07IB0,Port 20, Data
DSM091051411003,DSM091051411003 ibp85s0f0,DSM09-0101-0503-08IB0,Port 1, Data
DSM091051411019,DSM091051411019 ibp85s0f0,DSM09-0101-0503-08IB0,Port 2, Data
DSM091051411037,DSM091051411037 ibp85s0f0,DSM09-0101-0503-08IB0,Port 4, Data
DSM091051412003,DSM091051412003 ibp85s0f0,DSM09-0101-0503-08IB0,Port 5, Data
DSM091051412053,DSM091051412053 ibp85s0f0,DSM09-0101-0503-08IB0,Port 7, Data
DSM091051412037,DSM091051412037 ibp85s0f0,DSM09-0101-0503-08IB0,Port 8, Data
DSM091050301003,DSM091050301003 ibp85s0f0,DSM09-0101-0503-08IB0,Port 9, Data
DSM091050301019,DSM091050301019 ibp85s0f0,DSM09-0101-0503-08IB0,Port 10, Data
DSM091050301037,DSM091050301037 ibp85s0f0,DSM09-0101-0503-08IB0,Port 12, Data
DSM091050302003,DSM091050302003 ibp85s0f0,DSM09-0101-0503-08IB0,Port 13, Data
DSM091050302019,DSM091050302019 ibp85s0f0,DSM09-0101-0503-08IB0,Port 14, Data
DSM091050302053,DSM091050302053 ibp85s0f0,DSM09-0101-0503-08IB0,Port 15, Data
DSM091050302037,DSM091050302037 ibp85s0f0,DSM09-0101-0503-08IB0,Port 16, Data
DSM091050303003,DSM091050303003 ibp85s0f0,DSM09-0101-0503-08IB0,Port 17, Data
DSM091050303019,DSM091050303019 ibp85s0f0,DSM09-0101-0503-08IB0,Port 18, Data
DSM091050303053,DSM091050303053 ibp85s0f0,DSM09-0101-0503-08IB0,Port 19, Data
DSM091050303037,DSM091050303037 ibp85s0f0,DSM09-0101-0503-08IB0,Port 20, Data
DSM091050304003,DSM091050304003 ibp85s0f0,DSM09-0101-0503-09IB0,Port 1, Data
DSM091050304019,DSM091050304019 ibp85s0f0,DSM09-0101-0503-09IB0,Port 2, Data
DSM091050304053,DSM091050304053 ibp85s0f0,DSM09-0101-0503-09IB0,Port 3, Data
DSM091050304037,DSM091050304037 ibp85s0f0,DSM09-0101-0503-09IB0,Port 4, Data
DSM091050305003,DSM091050305003 ibp85s0f0,DSM09-0101-0503-09IB0,Port 5, Data
DSM091050305019,DSM091050305019 ibp85s0f0,DSM09-0101-0503-09IB0,Port 6, Data
DSM091050305053,DSM091050305053 ibp85s0f0,DSM09-0101-0503-09IB0,Port 7, Data
DSM091050305037,DSM091050305037 ibp85s0f0,DSM09-0101-0503-09IB0,Port 8, Data
DSM091050306003,DSM091050306003 ibp85s0f0,DSM09-0101-0503-09IB0,Port 9, Data
DSM091050306019,DSM091050306019 ibp85s0f0,DSM09-0101-0503-09IB0,Port 10, Data
